"","psid","state","stateName","district","distcode","age","sex","female","rural","medwork","hhsize","comb_wt","mpce","logRsincpc"
"11004",56083120306,"20","Jharkhand","21","2021",18,1,"Male","Rural",0,7,3520.2099609375,428.571441650391,6.06045722961426
"11006",55682220203,"20","Jharkhand","23","2023",16,1,"Male","Rural",0,4,7202.2099609375,1125,7.02553844451904
"11008",52789210102,"06","Haryana","17","0617",27,1,"Male","Rural",0,3,28173.48046875,1933.33337402344,7.56700086593628
"11014",53841110105,"12","Arunachal Pradesh","15","1215",18,2,"Female","Rural",0,5,466.845001220703,1800,7.49554204940796
"11017",51694130102,"09","Uttar Pradesh","12","0912",20,2,"Female","Rural",0,2,35787.6796875,4000,8.29404926300049
"11020",53125220103,"21","Odisha","07","2107",26,1,"Male","Rural",1,4,7797,637.5,6.45755434036255
"11022",55183110103,"16","Tripura","03","1603",25,1,"Male","Rural",1,5,1403.11499023438,1500,7.31322050094604
"11023",51425230102,"27","Maharashtra","05","2705",30,2,"Female","Rural",1,4,51148.3984375,875,6.77422380447388
"11024",70533140202,"23","Madhya Pradesh","18","2318",28,2,"Female","Urban",0,4,6902.8701171875,1250,7.13089895248413
"11026",53453210104,"33","Tamil Nadu","01","3301",20,2,"Female","Rural",0,5,36620.734375,4000,8.29404926300049
"11029",56450210103,"06","Haryana","09","0609",23,1,"Male","Rural",0,4,47551.71875,2050,7.62559509277344
"11032",54831220104,"18","Assam","18","1818",19,1,"Male","Rural",0,4,4155.39990234375,1500,7.31322050094604
"11033",57122210103,"12","Arunachal Pradesh","09","1209",25,1,"Male","Rural",1,6,1819.98999023438,1333.33337402344,7.19543743133545
"11042",72738110203,"32","Kerala","07","3207",23,2,"Female","Urban",1,4,6744.77001953125,4413.75,8.39247989654541
"11043",58568120203,"17","Meghalaya","06","1706",20,2,"Female","Rural",1,4,93.6800003051758,2500,7.82404613494873
"11045",50187110103,"04","Chandigarh","01","0401",23,1,"Male","Rural",1,5,56.3549995422363,4000,8.29404926300049
"11046",58573110105,"01","Jammu & Kashmir","08","0108",22,1,"Male","Rural",0,6,809.565002441406,1429,7.26472997665405
"11050",55505210109,"23","Madhya Pradesh","38","2338",26,1,"Male","Rural",1,10,19928.634765625,1600,7.37775897979736
"11051",77374140203,"08","Rajasthan","27","0827",23,1,"Male","Urban",1,3,13543.7001953125,1666.66662597656,7.41858100891113
"11052",54719110105,"27","Maharashtra","28","2728",18,2,"Female","Rural",0,7,2604.42993164062,1142.85717773438,7.04128646850586
"11053",50131210105,"01","Jammu & Kashmir","20","0120",19,2,"Female","Rural",0,5,8291.134765625,1500,7.31322050094604
"11055",73531110203,"35","A & N Island","03","3503",20,2,"Female","Urban",0,3,393.654998779297,3333.33325195312,8.11172771453857
"11059",79020120103,"09","Uttar Pradesh","24","0924",20,1,"Male","Urban",0,4,5520.47021484375,1250,7.13089895248413
"11063",73619120101,"06","Haryana","07","0607",21,1,"Male","Urban",1,2,14894.974609375,3250,8.08641052246094
